,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31,z32,z33,z34,z35,z36,z37,z38,z39,z40,z41,z42,z43,z44,z45,z46,z47,z48,z49,z50,z51,z52,z53,z54,z55,z56,z57,z58,z59,z60,z61,z62,z63,z64,z65,z66,z67,z68,z69,z70,z71,z72,z73,z74,z75,z76,z77,z78,z79,z80,z81,z82,z83,z84,z85,z86,z87,z88,z89,z90,z91,z92,z93,z94,z95,z96,z97,z98,z99,z100,z101,z102,z103,z104,z105,z106,z107,z108,z109,z110,z111,z112,z113,z114,z115,z116,z117,z118,z119,z120,z121,z122,z123,z124,z125,z126,z127
10-DEBC,-0.47781652,-0.4968651,-0.15161434,0.108842544,-0.18181063,0.27032667,-0.07910994,-0.39234635,-0.18472505,-0.07642813,0.39572778,-0.07573958,0.40497792,0.56175053,0.3777839,0.124600634,-0.13625623,-0.21443771,0.20317924,0.05172146,-0.22697152,0.0039677955,0.5441763,-0.2388617,0.07512799,-0.08170261,0.041028738,0.0066994987,0.51623,-0.08391936,0.22782505,0.08974679,-0.2675958,-0.3430423,-0.21125163,0.34308127,0.1123168,0.11494771,0.44874117,0.0096759815,-0.1378059,0.16898407,0.33694336,0.32871237,-0.24503557,-0.045210093,0.0837684,0.33487546,-0.17855324,-0.0934382,-0.14854382,0.18065806,-0.13206401,-0.06401992,0.03246705,0.104980595,0.060156018,0.14933449,-0.06802487,0.08953906,0.44733334,0.009079464,-0.058465138,-0.38170364,0.20634185,-0.41771302,-0.060936026,0.09582049,0.17830318,0.47456655,0.067961894,0.22379187,-0.13753252,0.1322655,0.23081252,-0.37936452,0.087661445,-0.044700876,0.110185616,-0.4334711,-0.3113483,0.005035432,0.012457492,0.15451784,-0.017211623,-0.19718659,0.12635468,0.062187187,0.27660236,-0.24797957,0.92822826,-0.43043557,-0.015576158,0.20256643,0.042967007,-0.2420469,0.05390789,-0.14760137,0.047489982,1.1023184,-0.12992227,-0.07113188,-0.07292091,-0.17736068,0.13822444,0.308707,-0.32808128,-0.29270703,-0.7604724,0.37137341,0.25305748,0.01315169,-0.21251732,0.06089242,0.11092691,0.39248556,-0.08695444,0.07114686,0.21308123,-0.052445468,-0.20214112,-0.18946329,-0.12947804,-0.19514433,-0.4896174,-0.11532875,-0.38415825,-0.2530315
1271738-62-5,0.1542363,0.06118828,-0.022834934,-0.1694793,-0.23941427,0.082769156,-0.090389,0.114221156,0.074211046,-0.055602044,0.09034975,0.0053388476,0.13718063,0.010642707,-0.1231859,0.1736634,0.023476984,-0.11922895,0.14556575,0.01811803,-0.056622565,0.11998686,-0.18971148,0.1397506,-0.06598157,-0.036113247,-0.043412287,0.09512626,-0.1895764,0.10764837,0.028947692,0.07926391,0.08966412,0.022932734,0.08937009,0.05864246,-0.23560902,-0.043586362,0.04676353,-0.08814318,0.045462035,-0.05054686,-0.21250987,-0.06330195,0.15773572,0.1944601,0.22070654,-0.115711235,0.0224402,0.0020101895,0.032349758,0.00463951,0.16365325,0.04066046,-0.036113545,0.15550649,0.12577473,-0.13555863,0.009629211,-0.18842444,-0.16132048,-0.017286856,-0.13398752,0.05157427,0.0039862175,0.07742759,-0.055471867,-0.07226909,0.03020209,-0.20982626,-0.18999755,-0.092922114,-0.0645491,0.121548444,-0.12620541,0.18029475,0.032875948,-0.16972797,-0.12519807,0.11921887,-0.1441248,-0.120452225,-0.039676234,-0.14669721,0.11452814,0.039325237,0.03384115,0.10172959,-0.03964907,-0.012316415,-0.12816352,0.043108772,-0.066630684,0.42307886,-0.21430518,0.028147364,0.00606972,0.17147884,-0.119028345,0.13876382,0.16006453,0.008700483,-0.1075444,-0.11368784,-0.19073004,-0.07713054,0.0835277,0.18809384,0.20569135,0.06407656,0.07938373,-0.19239274,-0.19101913,-0.21016145,-0.23106694,-0.08487663,0.10126078,-0.05656326,-0.07412387,-0.04993214,-0.032381423,0.016163073,0.008958124,0.17367983,0.04198733,0.0115525015,0.05027388,-0.053052492
"16,16-dimethylprostaglandin-e2",-0.029113065,0.2931959,-0.32490045,0.28246763,-0.09168645,-0.11582288,0.051007677,-0.16495824,0.099232316,-0.35847545,0.2832764,-0.0024561388,-0.4861944,0.35223314,-0.327211,0.39113054,-0.24813753,0.28432155,0.3685686,0.16980952,0.1526909,0.25262135,-0.010471288,0.25132278,-0.036361136,0.11006193,-0.03147472,-0.114711344,0.048196856,0.030788157,-0.14504124,-0.021194557,-1.0393988,-0.046253063,-0.0040359087,-0.00041093677,-0.2445856,-0.06660697,0.17307013,-0.34280738,0.2878497,-0.5427992,-0.25400415,-0.4356391,-0.0044862255,-0.27115914,0.21122973,0.050594077,-0.29584464,-0.428689,0.26593417,0.65452105,-0.0072517283,0.28205803,-0.06538269,-0.06538051,-0.11440165,-0.18752785,0.13851297,-0.18330821,-0.23270519,-0.0011011995,0.049280897,-0.015461695,0.11466286,-0.10793678,0.01139799,0.093267545,0.37513986,-0.3399506,-0.14412227,-0.33006805,0.21892358,0.32512274,0.1439594,-0.15006977,-0.18756996,-0.22905001,-0.034015648,0.19603236,-0.54485863,-0.3469248,-0.44176045,0.16043772,-0.19220388,-0.101155214,0.05845316,0.43913186,-0.281981,-0.022342412,-1.6025983,-0.075209714,0.3842796,0.44328195,-0.2902218,0.14913394,-0.1495962,0.22259215,0.45999885,-0.37849602,0.22472404,-0.12801735,-0.0006573871,0.23085845,-0.18142422,0.35660207,-0.19611625,-0.15900743,-0.32942832,-0.24624072,0.61670566,-1.0118878,-0.43485543,0.1672407,-0.16950788,-0.023528945,-0.017384244,-0.31779057,-0.027611315,0.13908917,-0.088012084,0.28689033,-0.117423885,0.2615997,0.25404966,-0.20285812,-0.058231108,-0.14093913
17-hydroxyprogesterone-caproate,-0.20916241,-0.44043118,-0.31005496,-0.045783725,-0.3748501,0.23879464,0.12013948,0.14738157,0.02630838,0.29289874,-0.023791227,-0.32067895,0.16740635,0.36971712,0.09116815,-0.35122693,0.11740984,-0.6900551,0.14229089,-0.02100201,0.113704614,-0.14132646,0.06010209,-0.20892222,-0.057815656,0.30284846,-0.15058003,-0.040217157,-0.034786835,0.37727985,0.6068115,0.3608494,-0.17715599,-0.06774186,0.011711907,0.07286485,0.061972186,-0.14701147,0.34147608,0.27436087,-0.16645628,0.22015785,-0.11827867,0.008768355,-0.00034864247,-0.10542076,0.22918978,0.3953758,-0.120567486,-0.32787478,0.029511118,0.22843139,0.12877396,-0.17671949,0.17759858,0.05305068,-0.013853475,-0.047197856,0.26071966,0.11949602,0.101119205,-0.06047205,0.0025874525,-0.3471659,0.3709002,-0.1896568,0.1305017,-0.11211897,0.42746928,0.44469526,-0.091744244,0.22987631,-0.2741112,0.28750566,-0.21069896,0.03257611,-0.22252488,0.037230883,0.41317412,-0.1491733,-0.7885188,0.14776108,0.06042138,-0.11226043,-0.19006455,0.030872487,0.31407076,0.0814728,0.41945624,-0.020151665,0.459786,-0.48190412,-0.20056723,0.5462312,-0.09272275,-0.19413579,0.120176375,-0.02780521,-0.2639534,0.68739367,-0.3059265,-0.05891711,-0.28202143,-0.083831295,0.059564263,0.07073609,0.3623294,0.16105628,0.5181188,0.20743056,-0.01989584,-0.04306191,0.0134374155,0.064778015,-0.06252463,0.10201806,0.07309498,0.13915506,-0.14753334,0.12732005,-0.011043519,-0.23230922,0.083973825,0.035950027,-0.2970183,-0.0016304408,0.047986798,-0.19763756
"2',5'-dideoxyadenosine",0.03311216,0.36827034,0.04663554,0.15047704,-0.6324369,0.045914114,-0.055573937,0.04492641,-0.028710049,0.010426097,0.031414974,-0.08242121,0.322576,0.016362466,-0.31710917,-0.21744068,0.35845438,0.09852664,-0.029948063,0.13884398,0.24971896,0.1864357,-0.5757351,0.28692076,-0.015147537,0.2091756,-0.055327814,0.0030028876,-0.2427983,0.17103666,-0.0790851,-0.21431714,-0.16476111,0.17279392,0.13751693,-0.12346739,-0.2721638,-0.029634807,-0.50071794,0.06948052,-0.3093598,0.0027207937,0.11055197,-0.43198347,0.22296993,0.1669227,0.13688697,-0.21736726,0.28995678,-0.114774205,0.11367593,-0.34987932,-0.07850178,0.2050474,-0.13074268,-0.19695397,-0.29998988,-0.033065747,-0.0066631404,0.056627408,-0.15351214,-0.16352586,-0.03931107,0.03146304,-0.1960942,0.19509602,0.07060738,0.0015037619,0.11290455,0.028616628,0.15354618,-0.21293423,-0.03998753,0.004746901,-0.16788748,0.5053018,0.061091326,0.40494058,-0.25377706,0.25368407,0.29776776,-0.15262835,0.20662218,0.0331871,0.2532333,0.32250902,0.24491394,0.16700236,0.14092797,-0.0757354,-0.53304845,0.020943116,0.14953949,0.5186426,0.11840406,0.35713795,-0.05923847,-0.18804142,-0.09705204,0.2858252,0.15990773,0.10071011,0.050523266,0.17725277,0.2150016,-0.3805561,0.108644575,0.34629303,-1.5605735,-0.13762999,0.0662912,0.88337,-0.094475575,0.1469797,-0.18016689,-0.17244452,0.2002511,0.06387214,-0.11790454,0.20927978,0.2621302,-0.2956184,0.017740998,-0.36194667,0.11974491,-0.0032420736,0.03259687,0.29542926
2-iminobiotin,0.23616803,0.07227984,-0.20815803,-0.0028182808,-0.1749623,0.23058353,0.21064727,0.06880147,0.039267905,0.14078468,0.355051,-0.18675761,-0.09016881,-0.09218374,-0.13286608,-0.008790828,0.0023649856,-0.30546442,-0.21305604,-0.12986535,0.12825972,0.06049013,0.17936681,-0.27424797,-0.2385075,0.011726894,-0.11945388,-0.08792105,-0.14388753,0.21640219,0.14321789,0.09153174,-0.14026855,0.0021871403,-0.14574529,-0.119525574,-0.05410455,0.11715561,-0.055978455,-0.15021868,-0.11506271,-0.0036711525,-0.43945363,-0.27123067,0.06486737,-0.21522522,0.010105828,0.032460593,-0.13211359,-0.37421846,0.066705264,0.027884366,0.121676825,0.07958847,0.0985333,0.008383319,0.116968215,-0.13051222,0.094878964,-0.0077307876,-0.17731796,-0.042692915,-0.05547413,-0.00083488587,-0.032858983,-0.0095402,0.071957834,0.32992852,0.15567482,-0.17633447,-0.025586437,-0.18541712,-0.1356688,0.16748194,-0.055063467,0.13973823,-0.1073558,-0.110545784,0.21216993,0.1722963,0.13719696,0.07172845,0.04641401,-0.33921608,-0.0924334,0.153433,-0.012932435,0.07652964,0.2566495,0.10759996,-0.54956514,-0.04568407,0.05237566,0.112698734,-0.035710543,0.18513441,0.19617188,0.044342756,-0.16422848,0.1388489,-0.19038759,-0.078539476,-0.055424906,0.056302607,0.21650305,-0.0081431335,0.19436468,0.13348435,0.13716713,0.097670704,0.10406177,-0.23111114,-0.1690204,0.15208386,-0.11274054,-0.10159522,0.22806196,0.03135393,0.03262137,0.36114866,-0.108050555,0.013495542,0.13610709,0.17620897,-0.08688915,0.13627125,-0.22300154,-0.14200464
2-methoxyestradiol,-0.052512053,-0.61366916,-0.19821464,0.26905668,0.2827354,0.07277329,-0.044557888,-0.10847276,0.10596359,-0.21550201,0.61220044,0.33798718,-0.13801599,-0.1492464,0.28302854,0.43205604,-0.3334974,-0.038180597,-0.18345849,-0.16291355,0.09325105,0.44289607,0.74494344,-0.21374477,-0.05463125,-0.21951345,0.2579773,-0.1664282,0.27676183,-0.069558114,-0.15424314,0.03350648,0.32444584,-0.13146739,0.021888066,0.24191058,-0.107936956,0.6355166,0.0969234,-0.28389475,-0.07050803,-0.14712167,-0.5568947,0.3639628,-0.09070273,0.023240695,-0.21795543,0.07704585,0.24581893,0.21943913,-0.15343139,0.198893,0.1682707,0.32023638,0.11467136,0.04322699,0.47180527,-0.2762003,-0.08831571,-0.007252751,-0.065839365,0.09467267,-0.1493662,-0.13582571,-0.33754498,-0.049343266,-0.022681432,0.35246235,-0.04605408,-0.45273972,-0.024147805,-0.16838579,0.06219642,0.27864248,0.54620713,-0.449205,0.25767815,-0.29177374,0.086709745,-0.09375276,0.14224821,-0.20530233,-0.10376319,-0.25201017,-0.37538427,-0.059657983,-0.26700526,0.071661234,-0.09684078,-0.026304642,-0.05823621,0.082955495,0.3872909,-0.12281662,0.35080573,0.11745284,0.32913962,0.20893171,0.089499265,0.33490622,0.024803102,-0.15804861,0.13318042,-0.11753149,0.12269779,-0.09790352,-0.3810237,-0.05085787,-1.7450304,0.228416,-0.12117854,-0.39259592,-0.100928664,-0.24539249,-0.38364473,0.049902394,-0.0915731,0.2692657,0.35216498,0.114071295,-0.033495583,0.0283349,-0.0035115108,0.21292135,-0.08895412,0.06844097,-0.66025734,-0.14621846
"3,3'-diindolylmethane",0.034481384,0.14570548,-0.36764395,0.17279907,-0.3377287,0.1342981,0.015754014,0.033637706,0.07220687,-0.12267032,0.30818594,0.084573284,-0.012080486,-0.045858722,-0.053118654,0.17755133,0.1898904,0.08601953,-0.0006735772,0.01637425,0.16813754,0.45922965,-0.077910386,0.07625185,-0.06216338,0.010899962,0.17144664,0.058953684,-0.15109809,0.14127688,-0.088663355,-0.13729621,-0.021330016,-0.12352297,0.017363649,-0.09745707,-0.37380058,0.398244,-0.24702978,-0.0564758,-0.14198989,-0.14051917,-0.39026165,-0.19761315,0.08466634,-0.2116099,-0.108949035,-0.08747348,0.1697188,-0.042589042,0.20403704,-0.06637305,0.085080214,0.393348,0.053839765,-0.18609391,-0.008130595,-0.14297731,0.14841767,-0.005744528,-0.34373695,-0.10191727,-0.03165879,0.16549397,-0.38167673,0.23439124,0.12367887,0.2864772,0.2753658,-0.2126239,-0.059377845,-0.303572,-0.035495523,0.4786345,-0.05415061,0.2511512,0.12876312,0.11418652,-0.07646471,0.26395658,0.3068521,-0.05489214,0.21755551,-0.15269746,0.03336237,0.26430288,0.07883288,0.07991678,0.09803857,-0.12956503,-0.44569626,0.14023636,0.26466128,0.12542187,-0.00077849254,0.3136708,0.26078257,-0.15982178,-0.20420882,0.2923627,0.057471007,-0.10405776,-0.12447837,0.18670578,0.18401341,-0.15193981,-0.2634022,0.2756096,-1.4435933,-0.08898036,0.141377,0.26220325,-0.28673205,0.026553629,-0.328416,0.056771014,0.12110128,0.037005007,0.030506145,0.2875514,0.14792736,-0.14966542,0.30409673,-0.06459077,0.06336761,-0.069456965,-0.28705415,0.029680947
3-amino-benzamide,0.084320694,0.0050767213,-0.025440589,-0.057975408,-0.060528435,0.10344289,0.12000732,0.019121833,0.036862656,0.113921285,0.24080878,-0.16324875,-0.001991854,-0.12854818,-0.106082216,-0.08244325,-0.059300743,-0.36697462,-0.04892481,-0.13905051,0.07583357,0.005093809,0.08833653,-0.16094784,-0.07359477,0.013597468,-0.056272384,-0.02789205,-0.016415952,0.09978567,0.20871168,0.14489625,-0.004701539,0.09108485,0.043713044,-0.008379232,0.025777657,-0.04278717,0.06241724,-0.019496713,-0.06726274,0.07096493,-0.25818813,-0.15667687,0.051173642,-0.047926687,-0.014805938,0.05134829,-0.04152537,-0.21847923,-0.021818826,-0.040705815,0.092491426,-0.058199536,0.054422565,0.013609896,0.077115685,-0.18749413,0.013513072,0.037624132,-0.09329459,-0.017793205,-0.048576303,-0.17363515,0.110275395,-0.0630253,0.040664215,0.13965546,0.100084156,-0.06999959,0.0168635,-0.105873026,-0.15348543,0.0011182036,0.102078326,0.06901081,-0.08592087,-0.059636235,0.25650024,-0.025889922,-0.03576127,-0.015280157,0.0017638654,-0.22188179,-0.06773329,-0.014559466,0.033756245,0.022618525,0.1279639,0.012169184,-0.26138702,-0.075145915,-0.047682717,0.19951597,0.00017839577,0.098861046,0.12914017,0.072604746,-0.057926908,0.1584889,-0.06833229,0.033549413,-0.010882559,-0.041626215,0.111111104,-0.08836746,0.2998592,0.12124023,0.15802297,0.08465275,-0.06927007,-0.13336925,-0.01604326,-0.016229287,-0.046049405,-0.14336756,0.053304512,0.12105008,-0.0804004,0.16827393,-0.0066216365,-0.050271012,0.026963439,0.07743771,-0.06436543,0.116069876,-0.013647923,-0.010765963
3-deazaadenosine,0.12932192,0.05350834,-0.009285804,0.0007502381,-0.19495396,0.07140587,0.14545311,-0.0057756663,0.025648952,0.01319579,0.06645638,-0.014637627,0.00040889066,0.069613785,0.11479829,0.17996058,-0.020833382,0.27532044,0.059948515,-0.007479877,-0.059957862,-0.016582422,0.079594016,-0.15320808,-0.012256092,-0.038965996,0.07703658,0.008232372,0.038483255,-0.04471682,0.101665154,0.1211036,-0.101098195,-0.028514037,-0.078556545,0.01822686,0.014514136,0.039443955,-0.024958856,0.10057181,0.002723394,-0.0361262,-0.073484644,-0.06390391,0.090642735,-0.27296484,0.06785368,-0.1738857,-0.15126167,0.08112333,0.021674363,0.00025171041,0.00881039,0.055185553,0.15661278,0.04266124,0.17745002,-0.013189182,0.0054532373,-0.05865369,-0.03221575,0.087476484,0.06110005,0.1807152,-0.15976919,0.010013685,0.072854504,0.0899324,-0.06040185,-0.063678145,-0.018687299,0.054690987,0.085436046,0.056115136,0.033968516,-0.061213076,-0.06617251,-0.23996735,-0.08290287,-0.04068024,-0.003030125,0.08291641,-0.08396706,-0.12160812,-0.080530174,0.034367364,-0.14479506,-0.07904346,-0.027530383,0.06694513,-0.26131633,0.061667886,0.030048722,-0.021689605,0.11834681,0.06609329,0.07560681,-0.0037918612,-0.05212516,0.21665536,-0.06817995,-0.0774853,0.075689,-0.033649072,0.023030806,0.049715146,-0.18833114,-0.005816115,0.50361645,0.10276961,0.091505915,-0.420417,-0.034451727,0.0945777,0.034919105,0.11094673,-0.046600796,0.065626316,0.100641966,0.11018579,0.065940894,-0.0049709883,0.13565335,0.03724873,-0.09845667,-0.03987146,-0.28273138,0.042451244
"4,5,6,7-tetrabromobenzotriazole",0.1607194,-0.095584534,0.01280842,-0.18637896,-0.07077369,-0.0065430384,-0.10709378,0.020167075,0.021291917,-0.010213526,0.12768868,0.046937738,0.076688595,-0.11051631,-0.0048522353,0.02877853,0.023717059,-0.11422418,0.058975242,-0.013420426,0.03814023,0.00085704774,-0.002118282,0.07177389,-0.11893087,0.050987065,-0.06384812,-0.03063488,-0.12725979,0.18943435,0.03403837,0.018537607,-0.05436226,-0.08733459,0.04725999,-0.07828554,0.10973289,0.02169864,0.08748303,-0.03837446,0.074402094,0.053430267,-0.029663675,-0.094607234,0.06977103,0.026176726,0.14340965,0.033167534,-0.03852092,0.0036208755,-4.5847148e-05,0.05347314,0.043198243,-0.056693003,0.06275001,0.11384478,0.11621291,-0.053878486,0.08454538,0.06140218,0.0018371977,0.0024657752,-0.12023456,-0.05489572,0.023518685,0.0034644827,-0.051550224,-0.034202002,0.0104948245,-0.03024438,0.122754775,-0.072617486,-0.036898304,0.02328582,-0.18780461,0.025224468,-0.017830811,-0.12261011,-0.13434263,0.0951141,-0.004796628,0.06768738,0.050827995,0.015526146,0.13196108,0.07212417,0.046449978,0.06798122,-0.013317961,0.024721364,-0.19534373,0.11891927,0.04686769,0.009565581,-0.02294369,-0.13824797,-0.07212511,-0.005969323,0.037237532,0.14774287,0.014651602,0.03075771,-0.12793402,-0.051436447,-0.122511886,-0.029253041,-0.04512755,0.084182315,0.05489471,0.052926045,0.17136298,-0.07514381,0.07802918,-0.029783737,-0.020298878,0.1326531,-0.0027325135,-0.058290914,0.103856474,-0.006434638,-0.10757618,0.037811942,-0.02793692,0.12766594,-0.028333519,-0.008070167,-0.0024328623,-0.027087066
5-aminolevulinic-acid,-0.029031146,-0.82537234,0.37982583,-0.513477,-0.031325467,-0.6842084,-0.6006875,-0.28698236,-0.009475309,0.1428629,0.35443228,-0.01719043,0.19793136,0.26714453,-0.27852187,-0.5316217,0.07299176,0.2948317,-0.29910254,0.16352436,0.29069197,-0.24370559,0.005805552,0.36643097,0.095388494,0.04627879,-0.15795544,-0.2636542,0.028018422,-0.07762244,-0.24248219,-0.17504945,0.35503057,-0.20886327,-0.21173277,-0.111903794,-0.0105107855,0.15760532,-0.25970885,-0.03557706,-0.2913326,0.36958215,0.2780873,-0.3228196,-0.14570123,-0.06950459,-0.44076782,0.45043752,-0.047090527,-0.30822888,-0.49864867,-0.017770138,-0.07226394,-0.05036895,-0.3186697,0.079174034,-0.25812986,0.07013287,0.16860855,0.67654026,-0.03392642,-0.36003086,-0.056970656,-0.13593785,-0.194651,-0.3722113,-0.1405179,-0.23802534,-0.71891224,0.14806485,0.17676651,0.2229954,-0.3684031,-0.55711937,0.10116922,-0.377196,0.08227362,0.5817514,-0.4193755,-0.20969437,0.50622565,-0.5047389,0.26456147,0.13358428,0.8212883,0.20192105,-0.116890684,0.1703351,-0.215891,0.058991894,-0.2144541,0.14022787,0.12955537,0.1830583,0.60553855,-0.2471455,0.0183416,0.45210108,0.17459653,0.2563287,0.2524129,0.37437952,-0.1504084,-0.46293995,-0.27660772,-0.56283784,0.1439561,-0.1775981,-0.019319467,0.50828165,-0.027914906,0.13919401,0.27569425,-0.104774706,-0.2686113,0.12803906,-0.084545486,0.22284202,0.047504857,-0.00082776323,0.09014194,-0.30888882,-0.23730838,0.059645012,-0.36265552,-0.17153937,0.1817892,0.072928295
A-443654,0.5281328,1.4958014,0.017543959,0.37278283,-0.36356285,-0.34644613,-0.21935192,-0.44781703,-0.4376714,0.29707125,0.03339175,-0.13694979,0.663516,-1.3358359,0.46125418,-0.1682728,-0.4278974,1.1998801,-0.30144984,-0.1812349,0.02308671,-0.720372,0.9442536,-0.465101,-0.107049264,0.6047487,0.23449805,-0.12123884,-1.281625,0.8766226,0.35703415,-0.2163481,0.35570332,-0.38245872,0.91331965,-0.6593034,0.27883375,0.16485271,0.446886,0.1886333,0.8084524,0.7933825,0.39785215,0.294525,1.1439416,-0.85644823,0.76392066,0.08852632,2.6143062,-0.30819762,-0.45915407,0.48539668,-0.124906495,0.60496575,-0.077154,0.4740567,0.6986191,-0.0011512209,0.50027,-0.1741683,0.7086894,-0.06251898,-0.2782535,0.47939268,1.0249223,0.30333832,-0.21718837,-1.1744328,-0.07102923,0.19983864,0.34954244,0.6130692,0.034838293,-0.26520348,0.43323794,0.04742153,0.777609,-0.55529934,0.4299615,0.6872351,-1.4644829,-0.34218496,-0.09049396,0.7363431,-0.12187407,-0.049309194,-0.115209654,-0.24236624,0.35646975,-0.42718065,-0.1844054,-0.25849319,-0.47305536,-1.7474966,-0.17801045,-0.7442236,0.18424353,-0.18994123,-0.17159157,-0.68334574,0.54910797,0.36433533,-0.5277367,-0.22477719,-0.26089385,1.3257084,-0.87711686,0.6523821,-0.0031741448,0.24439375,-2.2932072,0.09668726,-1.3860558,0.15201524,0.36022842,0.2829034,-0.21819592,-0.19692305,0.4784171,-0.16203617,-0.5945408,0.1345563,-0.59521776,-0.4434532,-1.4175959,1.2177464,-0.5482433,0.3219322
A-66,-0.17543408,0.013546649,0.35016817,0.62738425,0.516507,0.03329338,0.1388998,0.113706894,-0.105293065,-0.030745456,-0.06992468,0.09762913,0.41169086,-0.09624095,-0.21858399,-0.13325486,-0.04733236,-0.7703293,0.24697955,0.036807522,0.16598803,-0.027282383,0.020666488,0.09051079,0.037861243,-0.0931107,0.070151865,0.19209364,0.12326999,-0.2081841,-0.10441768,0.36187413,-0.21020424,0.23047689,0.34489185,0.44071126,-0.10133476,0.019774841,-0.34737325,-0.16817583,-0.17499429,-0.15244712,-0.07289109,-0.015814723,-0.24918233,0.2754064,0.20963101,-0.30612865,0.08616251,0.064622276,0.011841746,-0.24964075,0.16752583,0.19604573,-0.1700725,-0.18085065,0.1520226,-0.17922752,-0.46902496,-0.043585178,-0.038826562,0.043907247,0.16511595,0.022971168,-0.46214145,0.15939036,-0.18010046,0.03501051,-0.24413368,0.08536902,0.17821588,-0.08770019,0.3227327,0.08307567,0.4836488,-0.1856705,0.16344398,0.087669164,0.037778344,0.45567614,0.1855759,0.037663005,-0.11053248,-0.39209795,-0.20559996,0.44417953,-0.21650875,-0.2799266,-0.27550972,-0.20017861,-0.03863283,-0.047962833,-0.31130347,-0.49638686,0.08430638,0.40310937,0.37877148,-0.25273126,-0.27324283,0.0050593726,-0.049017537,-0.2788086,0.6153192,0.319832,0.22826044,-0.08364718,0.14658116,0.2230198,-0.034210913,-0.2088023,0.5970445,-0.2298341,-0.17910992,0.24789076,-0.08888727,-0.2648944,0.15137823,0.74470466,-0.3897239,-0.002270326,0.13829333,-0.33038977,0.04092283,-0.13453397,0.324485,0.09903499,-0.5970006,0.32306585
A-769662,-0.0012690108,-0.015328312,-0.022691734,0.00702345,0.21105899,0.064042196,-0.07619788,0.023885788,-0.09326339,-0.013213808,-0.08716819,0.019238526,0.06030606,0.059183627,0.03544872,0.015890263,0.020570792,-0.29261485,0.02486851,0.046296306,0.11192351,0.04229694,0.07000288,0.03677327,-0.054276694,-0.044023395,-0.052871663,0.055037584,-0.031052968,0.042020496,-0.07611953,0.01146264,-0.07129787,0.008099079,0.018101428,0.024972163,0.024674194,0.012482058,-0.032981336,0.026637906,0.011167158,-0.10033499,-0.047943242,0.007152018,-0.04651233,0.11640949,-0.007377807,-0.047619104,0.007610224,0.015818046,0.021806637,0.018816551,0.0008769296,0.03774817,0.042302314,-0.06685737,0.06236656,-0.072578065,-0.027493862,0.08474623,0.06339802,0.038089953,-0.033152066,0.045245886,-0.05202636,0.07888446,-0.011232225,0.02856379,-0.04863029,-0.012326375,-0.065879434,0.013444263,0.022631165,0.08359664,-0.048895814,-0.08522665,0.08001782,-0.032688484,-0.055822365,0.12122694,0.058753327,-0.010768484,-0.018260054,-0.08892007,0.006075602,-0.026507042,-0.022946095,-0.077707574,-0.0018377379,0.055607103,-0.0027028807,0.060526203,-0.10219423,-0.074273795,-0.018732458,0.013172885,0.0012845602,-0.029949956,-0.03668861,0.084635645,0.07674976,-0.10966207,-0.034385055,-0.013862044,-0.038051724,0.00409493,-0.0047189966,0.08505262,-0.01762579,-0.021304233,0.095803514,-0.15249762,-0.028225414,-0.11288727,-0.14146194,-0.062730804,0.08078003,0.08360362,-0.014008142,-0.042903226,-0.07051699,-0.014526824,-0.036209196,0.03848508,0.10590561,-0.008942785,-0.08296719,0.04867662
ABT-202,0.114244625,0.26438314,0.24169114,-0.08240063,-0.53446555,-0.07677738,0.053942565,0.30314714,0.079744056,-0.022283642,-0.045254685,0.03253168,0.1627116,0.0633433,-0.21255651,-0.06790627,0.10380083,-0.015211367,-0.19988793,-0.09415528,0.12385672,-0.095810905,-0.3386069,0.09088871,-0.12408946,0.14846207,0.120473295,-0.17737769,-0.102197066,0.04394034,-0.1075391,-0.011039965,-0.035901178,0.16432326,-0.078406096,-0.0351471,-0.18399028,-0.11425002,-0.32925618,-0.03546374,0.09198658,0.19948491,0.19982596,-0.051440813,0.16161,0.21797,-0.41593572,-0.14515889,0.1470978,-0.19724822,-0.22411412,0.035982788,0.038357124,-0.06605613,-0.090958714,-0.083842576,0.019714655,-0.09383988,-0.048483234,-0.07743471,-0.1409231,0.12652825,-0.028862845,0.16291304,-0.029963506,0.116187476,0.05142421,-0.03997037,-0.08427749,-0.003749635,0.03816595,-0.21412157,-0.046531986,-0.3803596,0.1389957,0.24444729,-0.17886661,0.14936611,-0.27245587,-0.024748478,-0.056646924,0.08463582,0.019309128,-0.18406264,-0.006648008,0.18398485,0.10738908,0.014054969,-0.17773877,0.08848043,0.1382592,-0.19321051,0.0058053765,0.17069645,0.06986907,0.022660246,-0.11709197,-0.10852695,0.018258367,0.8264597,0.09176042,0.0724486,0.20425409,0.23756051,0.15436141,-0.284044,0.20630382,0.29184628,-0.9085524,0.15199715,0.28493458,0.26885447,0.11738831,0.06335735,-0.021375814,0.27266788,0.10044504,0.2232376,0.05528778,0.12112449,0.10469745,0.15767665,-0.22931933,0.016464435,0.24676634,0.010272946,0.011220495,-0.07925619
